Apellidos;Nombre;DNI;Población;Fecha Nac;Sexo;Peso 
MAS FRANCH;TONI;936524446;Lleida;24/07/1969;Hombre;54
ALOY COMPTE;ALEJANDRO;938305551;Madrid;23/08/1958;Hombre;78
ASENSIO VEGA;JOAN MARTÍN;938206097;Zaragoza;16/12/1957;Hombre;91
BIDAULT PÉREZ;INGRID;934500644;Lleida;20/03/1967;Mujer;53
ALOY CODINACHS;OLIVER;938305594;Lleida;13/04/1959;Hombre;79
ALTIMIRAS ARMENTEROS;SANDRA;938300422;Barcelona;23/01/1960;Mujer;110
BELMONTE SÁNCHEZ;JORDI;938350511;Madrid;16/07/1966;Hombre;105
BAJONA GARCIA;MARCELO;938727589;Zaragoza;25/02/1968;Hombre;60
AGUILAR RODRIGUEZ;JORDINA;938208488;Barcelona;17/08/1962;Mujer;87
BARRIGA SOTO;MARIA JOSÉ;938320587;Tarragona;16/07/1961;Mujer;70
AVILA MASJUAN;RAQUEL;938203095;Girona;23/01/1964;Mujer;70
PARRAMON FLORES;ENRIC;934555455;Barcelona;29/08/1963;Hombre;78
AGUILAR RAMOS;MARTA;938208502;Tarragona;19/02/1961;Mujer;62
AYALA ALSINA;CARLA;938205245;Zaragoza;20/04/1959;Mujer;103
ALVAREZ TROYANO;MARIA NOELIA;938300374;Tarragona;20/10/1964;Mujer;66
ALINS GONZÁLEZ;CRISTINA;938305576;Barcelona;27/03/1960;Mujer;102
ACUÑA TORT;CARLOS;938208614;Valencia;09/09/1960;Hombre;79
ALGUÉ TRANCHO;DAVID;938770077;Madrid;03/11/1966;Hombre;82
BADIA CASTILLO;CRISTIAN;938200713;Girona;23/02/1960;Hombre;103
BENITEZ FLORES;JULIO ALBERTO;938270685;Barcelona;20/10/1962;Hombre;54
TORRUELLA GARCIA;SERGIO;936021048;Zaragoza;26/05/1969;Hombre;66
ALBERICH RODRIGUEZ;ALEIX;938773933;Tarragona;12/05/1966;Hombre;64
ARMENCOT PUIG;VERÒNICA;938206766;Zaragoza;30/08/1960;Mujer;104
ALIGUÉ RIVERA;MARIONA;938305223;Zaragoza;02/06/1962;Mujer;48
BARRIGA RIU;MARCELO;938325565;Zaragoza;02/08/1959;Hombre;89
PORTELLA GISPETS;GEMMA;936565448;Girona;06/09/1966;Mujer;98
AGUILERA BAENA;RICARDO;938208360;Madrid;20/02/1963;Hombre;82
RODRIGUEZ GARCÍA;JUAN;936549889;Madrid;20/07/1962;Hombre;94
AGUILAR SUNYÉ;MARTA;938208677;Tarragona;27/11/1960;Mujer;91
BARRIGA TARDÀ;NATÀLIA;938325558;Madrid;18/11/1959;Mujer;95
BARCONS LARA;MARTA;938360281;Barcelona;25/10/1968;Mujer;110
AGUILERA TATJÉ;LAURA;938208380;Valencia;10/02/1963;Mujer;96
ALEU PRAT;JOAN;938770878;Girona;02/02/1969;Hombre;93
VALLÉS GIRVENT;ALEXIA;936874511;Valencia;16/03/1964;Mujer;53
MOLINA GARRIDO;FERRAN;936548745;Girona;21/06/1964;Hombre;59
ARISSA HERMOSO;CRISTINA;938755512;Tarragona;19/11/1957;Mujer;75
BARALDÉS PARDO;JOSÉ ANTONIO;938722096;Barcelona;30/11/1966;Hombre;97
SUAREZ GARZÓN;JORDI;934512544;Valencia;03/09/1960;Hombre;108
ARPA MORENO;BEGONYA;938205011;Lleida;28/10/1964;Mujer;106
ALOY FARRANDO;INGRID;938300864;Barcelona;14/04/1959;Mujer;93
LUQUE GARRIGASAIT;MIQUEL;933256844;Lleida;20/09/1967;Hombre;93
RIDÓ GÓMEZ;AGUSTÍN;936528779;Tarragona;24/05/1966;Hombre;79
SANTAMARIA FLOTATS;ANTONIO;931021886;Girona;31/05/1967;Hombre;89
HERMS GÓMEZ;JOAN;936201457;Zaragoza;21/10/1958;Hombre;81
ARTIGAS MATURANO;MÒNICA;938207515;Lleida;03/10/1959;Mujer;100
AGUILAR MASANA;GERARDO;938208558;Madrid;23/05/1961;Hombre;83
ALTIMIRAS SERAROLS;GEMMA;938300496;Valencia;16/01/1961;Mujer;89
TORRESCASANA GARCIA;MARIA;930120545;Lleida;29/10/1957;Mujer;63
ARIZA PUIGBÓ;ORIOL;938207095;Girona;05/12/1967;Hombre;79
ALVAREZ ARMENTEROS;VIRGINIA;938300214;Barcelona;30/10/1965;Mujer;66
BARALDÉS TARRAGÓ;DAMIAN;938727244;Tarragona;19/05/1969;Hombre;101
GARCIA GARCÍA;VALENTINA;936565874;Barcelona;14/07/1964;Hombre;108
AROCA GÓMEZ;ANA;938205782;Tarragona;29/01/1964;Mujer;95
ALONSO RODRIGUEZ;DAVID;938305551;Girona;23/03/1958;Hombre;83
CANO GÓMEZ;GERARD;936577225;Zaragoza;04/11/1966;Hombre;69
ALCAIDE MOLINA;MARTA;938773647;Lleida;17/07/1967;Mujer;73
AGUILERA PRAT;MIREIA;938208054;Lleida;16/02/1966;Mujer;90
ALAPONT ICART;ELOISA;938208054;Lleida;09/03/1966;Hombre;58
RIVERO FLORIDO;ANNA;930712563;Valencia;23/03/1969;Mujer;102
AVILA MASJUAN;ALBA;938204078;Valencia;22/09/1957;Mujer;76
GRANADOS ANDRÉS;SANDRA;936871045;Barcelona;15/11/1961;Mujer;51
FERRER GASSET;ERIC;938745211;Valencia;15/04/1960;Hombre;62
AMIGO MODREGO;LUÍS;938300065;Zaragoza;18/11/1965;Hombre;98
ABDIN TATJÈ;CRISTIAN;938208674;Girona;08/12/1959;Hombre;76
CANELLAS GOMEZ;GUILLEMO;930214054;Zaragoza;30/03/1967;Hombre;68
HIDALGO ALTIMIRAS;DIMAS;936521404;Barcelona;14/07/1964;Hombre;89
BASTARDAS FRANCH;ANA INÉS;938350593;Zaragoza;03/01/1962;Mujer;96
ABADIAS MASANA;IVET;939962045;Zaragoza;22/05/1959;Mujer;105
AREVALO SANCHEZ;JÚLIA;938755603;Valencia;17/09/1968;Mujer;99
ALINS MULET;DANIEL;938305524;Barcelona;02/03/1958;Hombre;86
GARCIA GONZÁLEZ;ABEL;936571974;Valencia;30/07/1967;Hombre;83
ALVAREZ PARCERISA;IRENE;938300036;Girona;20/07/1965;Mujer;98
CASAS ANDRÉS;ADRIAN;936505455;Madrid;01/09/1959;Hombre;100
MORALES GESE;JAIRO;936587454;Barcelona;15/05/1963;Hombre;85
BARALDÉS MARTORELL;CRISTINA;938725845;Valencia;30/10/1963;Mujer;101
AROCA GÓMEZ;DAVID;938205730;Barcelona;23/10/1957;Hombre;58
RUEDA ALVAREZ;ADRIAN;936828258;Madrid;25/12/1961;Hombre;76
ALVAREZ DOMENECH;LUCIA;938300045;Valencia;13/11/1968;Mujer;62
BOIX GONZÁLEZ;CARLA;936521452;Tarragona;29/05/1963;Mujer;49
BARALDÉS MONRÓS;ADRIÀ;938725885;Valencia;12/01/1968;Hombre;62
AGUILERA MERINO;MARTA;938208303;Valencia;27/09/1964;Mujer;75
BAREA D'HAENE;MARCELO;938360213;Valencia;07/05/1958;Hombre;74
BARROSO D'HAENE;ALEX;938320537;Valencia;13/09/1961;Hombre;76
